"incident_date","incident_datetime","analysis_neighborhood","incident_category","incident_category","resolution","police_district","incident_description","incident_number"
"2024-06-01 00:00:00","2024-06-01 01:02:00","Bernal Heights","Assault","Assault","Cite or Arrest Adult","Ingleside","Assault, Aggravated, W/ Force","240342624"
"2024-06-01 00:00:00","2024-06-01 01:03:00","Tenderloin","Other","Other","Open or Active","Tenderloin","Death Report, Cause Unknown","240342599"
"2024-06-01 00:00:00","2024-06-01 01:30:00","South of Market","Assault","Assault","Open or Active","Tenderloin","Assault, Aggravated, W/ Force","240342618"
"2024-06-01 00:00:00","2024-06-01 01:30:00","South of Market","Robbery","Robbery","Open or Active","Tenderloin","Robbery, W/ Force","240342618"
"2024-06-01 00:00:00","2024-06-01 01:30:00","Financial District/South Beach","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Southern","Vehicle, Stolen, Auto","240343547"
"2024-06-01 00:00:00","2024-06-01 02:00:00","Western Addition","Burglary","Burglary","Open or Active","Park","Burglary, Residence, Forcible Entry","240344062"
"2024-06-01 00:00:00","2024-06-01 02:27:00","Nob Hill","Other Offenses","Other Offenses","Cite or Arrest Adult","Tenderloin","License Plate, Found","240342737"
"2024-06-01 00:00:00","2024-06-01 02:27:00","Nob Hill","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Opiates, Possession For Sale","240233857"
"2024-06-01 00:00:00","2024-06-01 02:27:00","Nob Hill","Recovered Vehicle","Recovered Vehicle","Cite or Arrest Adult","Tenderloin","Vehicle, Recovered, Motorcycle","240233857"
"2024-06-01 00:00:00","2024-06-01 02:27:00","Nob Hill","Recovered Vehicle","Recovered Vehicle","Cite or Arrest Adult","Tenderloin","Vehicle, Recovered, Motorcycle","240233857"
"2024-06-01 00:00:00","2024-06-01 02:36:00","Western Addition","Drug Offense","Drug Offense","Cite or Arrest Adult","Northern","Opiates Offense","240342674"
"2024-06-01 00:00:00","2024-06-01 02:36:00","Western Addition","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Northern","Investigative Detention","240342674"
"2024-06-01 00:00:00","2024-06-01 02:36:00","Western Addition","Drug Offense","Drug Offense","Cite or Arrest Adult","Northern","Narcotics Paraphernalia, Possession of","240342674"
"2024-06-01 00:00:00","2024-06-01 02:50:00","Bernal Heights","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Ingleside","Vehicle, Stolen, Truck","240342721"
"2024-06-01 00:00:00","2024-06-01 02:55:00","South of Market","Warrant","Warrant","Cite or Arrest Adult","Tenderloin","Warrant Arrest, Enroute To Outside Jurisdiction","240342680"
"2024-06-01 00:00:00","2024-06-01 03:00:00","Oceanview/Merced/Ingleside","Offences Against The Family And Children","Offences Against The Family And Children","Cite or Arrest Adult","Taraval","Violation of Stay Away Order","240342840"
"2024-06-01 00:00:00","2024-06-01 03:05:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Northern","Trespassing","240342715"
"2024-06-01 00:00:00","2024-06-01 03:05:00","Marina","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","Northern","Miscellaneous Investigation","240342709"
"2024-06-01 00:00:00","2024-06-01 03:20:00","Mission","Non-Criminal","Non-Criminal","Open or Active","Mission","Aided Case, Injured or Sick Person","240342696"
"2024-06-01 00:00:00","2024-06-01 03:30:00","West of Twin Peaks","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, From Locked Vehicle, >$950","240347254"
"2024-06-01 00:00:00","2024-06-01 03:55:00","Portola","Malicious Mischief","Malicious Mischief","Open or Active","Bayview","Malicious Mischief, Vandalism to Vehicle","240343365"
"2024-06-01 00:00:00","2024-06-01 04:00:00","North Beach","Assault","Assault","Open or Active","Central","Battery","240343008"
"2024-06-01 00:00:00","2024-06-01 04:00:00","North Beach","Malicious Mischief","Malicious Mischief","Open or Active","Central","Malicious Mischief, Adult Suspect","240343008"
"2024-06-01 00:00:00","2024-06-01 04:00:00","North Beach","Disorderly Conduct","Disorderly Conduct","Open or Active","Central","Disturbing The Peace, Fighting","240343008"
"2024-06-01 00:00:00","2024-06-01 04:05:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Open or Active","Tenderloin","Investigative Detention","240342743"
"2024-06-01 00:00:00","2024-06-01 04:15:00","Russian Hill","Burglary","Burglary","Open or Active","Central","Burglary, Other Bldg., Forcible Entry","240343484"
"2024-06-01 00:00:00","2024-06-01 04:30:00","Russian Hill","Burglary","Burglary","Open or Active","Northern","Burglary, Non-residential, Unlawful Entry","240342793"
"2024-06-01 00:00:00","2024-06-01 04:30:00","Financial District/South Beach","Malicious Mischief","Malicious Mischief","Open or Active","Southern","Malicious Mischief, Vandalism to Vehicle","240342771"
"2024-06-01 00:00:00","2024-06-01 04:46:00","South of Market","Malicious Mischief","Malicious Mischief","Open or Active","Southern","Malicious Mischief, Vandalism to Property","240342765"
"2024-06-01 00:00:00","2024-06-01 04:50:00","Mission","Malicious Mischief","Malicious Mischief","Open or Active","Mission","Malicious Mischief, Vandalism to Property","240342812"
"2024-06-01 00:00:00","2024-06-01 05:00:00","North Beach","Other","Other","Open or Active","Central","Death Report, Cause Unknown","240342856"
"2024-06-01 00:00:00","2024-06-01 05:00:00","South of Market","Missing Person","Missing Person","Open or Active","Southern","Missing Adult","240343268"
"2024-06-01 00:00:00","2024-06-01 05:00:00","South of Market","Missing Person","Missing Person","Open or Active","Southern","Found Person","240343268"
"2024-06-01 00:00:00","2024-06-01 05:15:00","South of Market","Robbery","Robbery","Open or Active","Southern","Robbery, Att., W/ Knife","240342828"
"2024-06-01 00:00:00","2024-06-01 05:15:00","South of Market","Assault","Assault","Open or Active","Southern","Assault, Aggravated, W/ Knife","240342828"
"2024-06-01 00:00:00","2024-06-01 05:36:00","Bayview Hunters Point","Malicious Mischief","Malicious Mischief","Open or Active","Bayview","Malicious Mischief, Breaking Windows","240342834"
"2024-06-01 00:00:00","2024-06-01 06:50:00","Nob Hill","Burglary","Burglary","Open or Active","Northern","Burglary, Non-residential, Forcible Entry","240342884"
"2024-06-01 00:00:00","2024-06-01 06:53:00","Inner Richmond","Courtesy Report","Courtesy Report","Open or Active","Out of SF","Courtesy Report","240343412"
"2024-06-01 00:00:00","2024-06-01 06:53:00","Inner Richmond","Fraud","Fraud","Open or Active","Out of SF","Access Card, incl. Credit, Phone, ATM, Fraudulent Use of","240343412"
"2024-06-01 00:00:00","2024-06-01 07:00:00","Marina","Non-Criminal","Non-Criminal","Open or Active","Northern","Mental Health Detention","240343246"
"2024-06-01 00:00:00","2024-06-01 07:10:00","Haight Ashbury","Assault","Assault","Cite or Arrest Adult","Park","Battery","240342925"
"2024-06-01 00:00:00","2024-06-01 07:10:00","Haight Ashbury","Warrant","Warrant","Cite or Arrest Adult","Park","Warrant Arrest, Enroute To Outside Jurisdiction","240342925"
"2024-06-01 00:00:00","2024-06-01 07:10:00","Haight Ashbury","Malicious Mischief","Malicious Mischief","Cite or Arrest Adult","Park","Malicious Mischief, Vandalism to Property","240342925"
"2024-06-01 00:00:00","2024-06-01 07:12:00","Hayes Valley","Warrant","Warrant","Cite or Arrest Adult","Northern","Warrant Arrest, Local SF Warrant","240342969"
"2024-06-01 00:00:00","2024-06-01 07:12:00","Hayes Valley","Warrant","Warrant","Cite or Arrest Adult","Northern","Warrant Arrest, Enroute To Outside Jurisdiction","240342969"
"2024-06-01 00:00:00","2024-06-01 07:21:00","Mission","Weapons Offense","Weapons Offense","Cite or Arrest Adult","Mission","Weapon, Deadly, Imitation or Laser Scope, Exhibiting","240342975"
"2024-06-01 00:00:00","2024-06-01 07:30:00","Mission Bay","Suspicious Occ","Suspicious Occ","Open or Active","Southern","Suspicious Occurrence","240344125"
"2024-06-01 00:00:00","2024-06-01 07:37:00","Tenderloin","Non-Criminal","Non-Criminal","Open or Active","Tenderloin","Mental Health Detention","240342947"
"2024-06-01 00:00:00","2024-06-01 07:50:00","Western Addition","Assault","Assault","Open or Active","Northern","Assault, Aggravated, W/ Other Weapon","240344294"
"2024-06-01 00:00:00","2024-06-01 07:50:00","Western Addition","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, Other Property, $200-$950","240344294"
"2024-06-01 00:00:00","2024-06-01 07:52:00","Hayes Valley","Non-Criminal","Non-Criminal","Open or Active","Park","Mental Health Detention","240342953"
"2024-06-01 00:00:00","2024-06-01 07:55:00","South of Market","Assault","Assault","Open or Active","Tenderloin","Battery","240342997"
"2024-06-01 00:00:00","2024-06-01 08:00:00","Chinatown","Lost Property","Lost Property","Open or Active","Central","Lost Property","240345305"
"2024-06-01 00:00:00","2024-06-01 08:10:00","Mission","Malicious Mischief","Malicious Mischief","Open or Active","Mission","Malicious Mischief, Vandalism to Property","240343036"
"2024-06-01 00:00:00","2024-06-01 09:00:00","Excelsior","Larceny Theft","Larceny Theft","Open or Active","Ingleside","Theft, Vehicle Strip, >$950","240344943"
"2024-06-01 00:00:00","2024-06-01 09:29:00","South of Market","Non-Criminal","Non-Criminal","Open or Active","Southern","Found  Property","240343058"
"2024-06-01 00:00:00","2024-06-01 09:45:00","Tenderloin","Suicide","Suicide","Open or Active","Tenderloin","Suicide, Attempted","240343127"
"2024-06-01 00:00:00","2024-06-01 09:45:00","Tenderloin","Non-Criminal","Non-Criminal","Open or Active","Tenderloin","Mental Health Detention","240343127"
"2024-06-01 00:00:00","2024-06-01 10:00:00","Outer Richmond","Missing Person","Missing Person","Open or Active","Richmond","Missing Adult","240348042"
"2024-06-01 00:00:00","2024-06-01 10:00:00","Bayview Hunters Point","Recovered Vehicle","Recovered Vehicle","Open or Active","Bayview","Vehicle, Recovered, Auto","240340678"
"2024-06-01 00:00:00","2024-06-01 10:00:00","Golden Gate Park","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","Park","Miscellaneous Investigation","240341955"
"2024-06-01 00:00:00","2024-06-01 10:00:00","Mission","Suspicious Occ","Suspicious Occ","Open or Active","Southern","Suspicious Occurrence","240344175"
"2024-06-01 00:00:00","2024-06-01 10:00:00","Mission Bay","Assault","Assault","Open or Active","Southern","Assault, Aggravated, W/ Gun","240343393"
"2024-06-01 00:00:00","2024-06-01 10:13:00","Western Addition","Recovered Vehicle","Recovered Vehicle","Open or Active","Northern","Vehicle, Recovered, Motorcycle","240298497"
"2024-06-01 00:00:00","2024-06-01 10:15:00","Outer Mission","Malicious Mischief","Malicious Mischief","Open or Active","Ingleside","Malicious Mischief, Vandalism to Vehicle","240343133"
"2024-06-01 00:00:00","2024-06-01 10:15:00","Outer Mission","Other Miscellaneous","Other Miscellaneous","Open or Active","Ingleside","Vehicle, Throwing Substance At","240343133"
"2024-06-01 00:00:00","2024-06-01 10:15:00","Pacific Heights","Malicious Mischief","Malicious Mischief","Open or Active","Richmond","Malicious Mischief, Vandalism to Property","240344498"
"2024-06-01 00:00:00","2024-06-01 10:18:00","Bayview Hunters Point","Stolen Property","Stolen Property","Cite or Arrest Adult","Bayview","Stolen Property, Possession with Knowledge, Receiving","240340678"
"2024-06-01 00:00:00","2024-06-01 10:18:00","Bayview Hunters Point","Burglary","Burglary","Cite or Arrest Adult","Bayview","Burglary, Hot Prowl, Unlawful Entry","240340678"
"2024-06-01 00:00:00","2024-06-01 10:18:00","Bayview Hunters Point","Recovered Vehicle","Recovered Vehicle","Cite or Arrest Adult","Bayview","Vehicle, Recovered, Auto","240340678"
"2024-06-01 00:00:00","2024-06-01 10:26:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Cocaine, Base/rock Offense","240343183"
"2024-06-01 00:00:00","2024-06-01 10:26:00","Tenderloin","Assault","Assault","Cite or Arrest Adult","Tenderloin","Assault, Aggravated, W/ Other Weapon","240343183"
"2024-06-01 00:00:00","2024-06-01 10:29:00","Sunset/Parkside","Other Miscellaneous","Other Miscellaneous","Open or Active","Taraval","Extortion, Attempted","240343343"
"2024-06-01 00:00:00","2024-06-01 10:44:00","Inner Sunset","Other","Other","Open or Active","Park","Death Report, Cause Unknown","240343321"
"2024-06-01 00:00:00","2024-06-01 10:51:00","Sunset/Parkside","Non-Criminal","Non-Criminal","Open or Active","Taraval","Firearm, Turned In by Public","240343666"
"2024-06-01 00:00:00","2024-06-01 11:00:00","Bernal Heights","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Bayview","Conspiracy","240030443"
"2024-06-01 00:00:00","2024-06-01 11:00:00","Bernal Heights","Burglary","Burglary","Cite or Arrest Adult","Bayview","Burglary, Store, Unlawful Entry","240030443"
"2024-06-01 00:00:00","2024-06-01 11:00:00","Bernal Heights","Larceny Theft","Larceny Theft","Cite or Arrest Adult","Bayview","Theft, Shoplifting, >$950","240030443"
"2024-06-01 00:00:00","2024-06-01 11:00:00","Financial District/South Beach","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","Central","Miscellaneous Investigation","240343218"
"2024-06-01 00:00:00","2024-06-01 11:00:00","Tenderloin","Burglary","Burglary","Open or Active","Northern","Burglary, Residence, Unlawful Entry","240344103"
"2024-06-01 00:00:00","2024-06-01 11:08:00","Western Addition","Assault","Assault","Open or Active","Northern","Battery","240343252"
"2024-06-01 00:00:00","2024-06-01 11:21:00","Mission","Recovered Vehicle","Recovered Vehicle","Cite or Arrest Adult","Mission","Vehicle, Recovered, Auto","240340678"
"2024-06-01 00:00:00","2024-06-01 11:21:00","Mission","Burglary","Burglary","Cite or Arrest Adult","Mission","Burglary, Hot Prowl, Unlawful Entry","240340678"
"2024-06-01 00:00:00","2024-06-01 11:28:00","Bayview Hunters Point","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Person, >$950 (other than Pickpocket)","240343337"
"2024-06-01 00:00:00","2024-06-01 11:40:00","Mission","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Mission","Vehicle, Stolen, Attempted","240343309"
"2024-06-01 00:00:00","2024-06-01 11:48:00","Inner Sunset","Non-Criminal","Non-Criminal","Open or Active","Taraval","Aided Case","240343296"
"2024-06-01 00:00:00","2024-06-01 11:49:00","Castro/Upper Market","Non-Criminal","Non-Criminal","Cite or Arrest Adult","Mission","Mental Health Detention","240343280"
"2024-06-01 00:00:00","2024-06-01 11:49:00","Castro/Upper Market","Assault","Assault","Cite or Arrest Adult","Mission","Battery","240343280"
"2024-06-01 00:00:00","2024-06-01 11:55:00","Tenderloin","Disorderly Conduct","Disorderly Conduct","Open or Active","Central","Terrorist Threats","240347668"
"2024-06-01 00:00:00","2024-06-01 11:55:00","Tenderloin","Suspicious Occ","Suspicious Occ","Open or Active","Central","Suspicious Occurrence","240347668"
"2024-06-01 00:00:00","2024-06-01 12:00:00","Sunset/Parkside","Larceny Theft","Larceny Theft","Open or Active","Taraval","License Plate, Stolen","240343616"
"2024-06-01 00:00:00","2024-06-01 12:09:00","Mission","Assault","Assault","Open or Active","Mission","Battery with Serious Injuries","240343359"
"2024-06-01 00:00:00","2024-06-01 12:09:00","Mission","Assault","Assault","Open or Active","Mission","Battery with Serious Injuries","240343359"
"2024-06-01 00:00:00","2024-06-01 12:09:00","Mission","Other Miscellaneous","Other Miscellaneous","Open or Active","Mission","Conspiracy","240343359"
"2024-06-01 00:00:00","2024-06-01 12:09:00","Mission","Other Miscellaneous","Other Miscellaneous","Open or Active","Mission","Conspiracy","240343359"
"2024-06-01 00:00:00","2024-06-01 12:09:00","Mission","Disorderly Conduct","Disorderly Conduct","Open or Active","Mission","Gang Related (secondary only)","240343359"
"2024-06-01 00:00:00","2024-06-01 12:09:00","Mission","Disorderly Conduct","Disorderly Conduct","Open or Active","Mission","Gang Related (secondary only)","240343359"
"2024-06-01 00:00:00","2024-06-01 12:19:00","Chinatown","Non-Criminal","Non-Criminal","Open or Active","Central","Found  Property","240343371"
"2024-06-01 00:00:00","2024-06-01 12:20:00","Hayes Valley","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Building, $50-$200","240344040"
"2024-06-01 00:00:00","2024-06-01 12:20:00","Tenderloin","Burglary","Burglary","Open or Active","Central","Burglary, Apartment House, Forcible Entry","240344802"
"2024-06-01 00:00:00","2024-06-01 12:32:00","Mission Bay","Assault","Assault","Open or Active","Southern","Assault, Aggravated, W/ Gun","240343393"
"2024-06-01 00:00:00","2024-06-01 12:48:00","Mission","Assault","Assault","Cite or Arrest Adult","Mission","Assault, Mayhem, W/ Force","240343456"
"2024-06-01 00:00:00","2024-06-01 12:48:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, From Building, $200-$950","240348600"
"2024-06-01 00:00:00","2024-06-01 12:48:00","Mission","Weapons Offense","Weapons Offense","Cite or Arrest Adult","Mission","Weapon, Carrying Concealed","240343456"
"2024-06-01 00:00:00","2024-06-01 12:48:00","Mission","Assault","Assault","Cite or Arrest Adult","Mission","Assault, Aggravated, W/ Force","240343456"
"2024-06-01 00:00:00","2024-06-01 13:03:00","South of Market","Other Miscellaneous","Other Miscellaneous","Open or Active","Tenderloin","Investigative Detention","240343440"
"2024-06-01 00:00:00","2024-06-01 13:20:00","South of Market","Assault","Assault","Open or Active","Southern","Battery","240343503"
"2024-06-01 00:00:00","2024-06-01 13:53:00","Oceanview/Merced/Ingleside","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, Other Property, $200-$950","240343973"
"2024-06-01 00:00:00","2024-06-01 13:55:00","Mission","Malicious Mischief","Malicious Mischief","Open or Active","Mission","Malicious Mischief, Vandalism to Vehicle","240343694"
"2024-06-01 00:00:00","2024-06-01 14:00:00","Bayview Hunters Point","Larceny Theft","Larceny Theft","Open or Active","Bayview","License Plate, Stolen","240347533"
"2024-06-01 00:00:00","2024-06-01 14:06:00","Sunset/Parkside","Non-Criminal","Non-Criminal","Open or Active","Taraval","Found  Property","240343519"
"2024-06-01 00:00:00","2024-06-01 14:14:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Tenderloin","Resisting, Delaying, or Obstructing  Peace Officer Duties","240343553"
"2024-06-01 00:00:00","2024-06-01 14:14:00","Tenderloin","Assault","Assault","Cite or Arrest Adult","Tenderloin","Battery","240343553"
"2024-06-01 00:00:00","2024-06-01 14:15:00","Tenderloin","Fire Report","Fire Report","Open or Active","Northern","Fire Report","240343569"
"2024-06-01 00:00:00","2024-06-01 14:19:00","Financial District/South Beach","Warrant","Warrant","Cite or Arrest Adult","Central","Warrant Arrest, Local SF Warrant","240265418"
"2024-06-01 00:00:00","2024-06-01 14:28:00","Mission","Non-Criminal","Non-Criminal","Open or Active","Mission","Mental Health Detention","240344313"
"2024-06-01 00:00:00","2024-06-01 14:36:00","West of Twin Peaks","Assault","Assault","Open or Active","Taraval","Assault, Aggravated, W/ Force","240343644"
"2024-06-01 00:00:00","2024-06-01 14:36:00","West of Twin Peaks","Disorderly Conduct","Disorderly Conduct","Open or Active","Taraval","Terrorist Threats","240343644"
"2024-06-01 00:00:00","2024-06-01 14:40:00","Bayview Hunters Point","Non-Criminal","Non-Criminal","Open or Active","Bayview","Dog, Bite or Attack","240343600"
"2024-06-01 00:00:00","2024-06-01 14:44:00","Excelsior","Malicious Mischief","Malicious Mischief","Open or Active","Ingleside","Malicious Mischief, Breaking Windows","240343876"
"2024-06-01 00:00:00","2024-06-01 15:00:00","Western Addition","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, Other Property, $50-$200","246071950"
"2024-06-01 00:00:00","2024-06-01 15:00:00","Potrero Hill","Larceny Theft","Larceny Theft","Open or Active","Southern","Theft, From Building, >$950","240348177"
"2024-06-01 00:00:00","2024-06-01 15:23:00","Bayview Hunters Point","Non-Criminal","Non-Criminal","Open or Active","Central","Found  Property","240344341"
"2024-06-01 00:00:00","2024-06-01 15:25:00","Hayes Valley","Non-Criminal","Non-Criminal","Open or Active","Northern","Dog, Bite or Attack","240343707"
"2024-06-01 00:00:00","2024-06-01 15:26:00","Mission","Malicious Mischief","Malicious Mischief","Open or Active","Mission","Malicious Mischief, Vandalism to Property","240343650"
"2024-06-01 00:00:00","2024-06-01 15:26:00","Mission","Other Miscellaneous","Other Miscellaneous","Open or Active","Mission","Resisting, Delaying, or Obstructing  Peace Officer Duties","240343650"
"2024-06-01 00:00:00","2024-06-01 15:30:00","Sunset/Parkside","Malicious Mischief","Malicious Mischief","Open or Active","Taraval","Malicious Mischief, Vandalism to Property","246072011"
"2024-06-01 00:00:00","2024-06-01 15:30:00","Chinatown","Malicious Mischief","Malicious Mischief","Open or Active","Central","Malicious Mischief, Vandalism to Vehicle","240343826"
"2024-06-01 00:00:00","2024-06-01 15:35:00","Chinatown","Non-Criminal","Non-Criminal","Open or Active","Central","Mental Health Detention","240343672"
"2024-06-01 00:00:00","2024-06-01 15:40:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Southern","Theft, Bicycle, $200-$950","240343688"
"2024-06-01 00:00:00","2024-06-01 16:00:00","Bayview Hunters Point","Burglary","Burglary","Open or Active","Bayview","Burglary, Residence, Forcible Entry","240347044"
"2024-06-01 00:00:00","2024-06-01 16:00:00","Golden Gate Park","Assault","Assault","Cite or Arrest Adult","Richmond","Battery","240343757"
"2024-06-01 00:00:00","2024-06-01 16:00:00","Mission","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Mission","Vehicle, Stolen, Auto","240345537"
"2024-06-01 00:00:00","2024-06-01 16:00:00","Potrero Hill","Malicious Mischief","Malicious Mischief","Open or Active","Bayview","Malicious Mischief, Vandalism to Vehicle","240346068"
"2024-06-01 00:00:00","2024-06-01 16:00:00","Inner Sunset","Malicious Mischief","Malicious Mischief","Open or Active","Taraval","Malicious Mischief, Breaking Windows With BB Gun","240345258"
"2024-06-01 00:00:00","2024-06-01 16:00:00","Potrero Hill","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Bayview","Vehicle, Stolen, Attempted","240346068"
"2024-06-01 00:00:00","2024-06-01 16:07:00","South of Market","Non-Criminal","Non-Criminal","Open or Active","Southern","Mental Health Detention","240343713"
"2024-06-01 00:00:00","2024-06-01 16:10:00","Castro/Upper Market","Malicious Mischief","Malicious Mischief","Open or Active","Mission","Malicious Mischief, Vandalism to Vehicle","240343779"
"2024-06-01 00:00:00","2024-06-01 16:13:00","Nob Hill","Other Miscellaneous","Other Miscellaneous","Open or Active","Central","Trespassing","240343785"
"2024-06-01 00:00:00","2024-06-01 16:15:00","Hayes Valley","Assault","Assault","Open or Active","Northern","Assault, Aggravated, W/ Gun","240343989"
"2024-06-01 00:00:00","2024-06-01 16:15:00","Hayes Valley","Assault","Assault","Open or Active","Northern","Battery","240343989"
"2024-06-01 00:00:00","2024-06-01 16:23:00","Tenderloin","Assault","Assault","Open or Active","Northern","Battery","240343741"
"2024-06-01 00:00:00","2024-06-01 16:30:00","Tenderloin","Assault","Assault","Cite or Arrest Adult","Tenderloin","Battery","240343832"
"2024-06-01 00:00:00","2024-06-01 16:41:00","Western Addition","Fire Report","Fire Report","Open or Active","Northern","Fire Report","240343791"
"2024-06-01 00:00:00","2024-06-01 16:49:00","South of Market","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Southern","Probation Violation","240343804"
"2024-06-01 00:00:00","2024-06-01 16:49:00","South of Market","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Southern","Resisting, Delaying, or Obstructing  Peace Officer Duties","240343804"
"2024-06-01 00:00:00","2024-06-01 16:49:00","South of Market","Assault","Assault","Cite or Arrest Adult","Southern","Assault, Aggravated, W/ Knife","240343804"
"2024-06-01 00:00:00","2024-06-01 17:00:00","Bayview Hunters Point","Suspicious Occ","Suspicious Occ","Open or Active","Bayview","Suspicious Occurrence","240343901"
"2024-06-01 00:00:00","2024-06-01 17:00:00","Mission","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","Mission","Miscellaneous Investigation","240343848"
"2024-06-01 00:00:00","2024-06-01 17:20:00","Mission","Lost Property","Lost Property","Open or Active","Mission","Lost Property","240343898"
"2024-06-01 00:00:00","2024-06-01 17:26:00","Visitacion Valley","Robbery","Robbery","Open or Active","Ingleside","Robbery, Street or Public Place, W/ Force","240339615"
"2024-06-01 00:00:00","2024-06-01 17:26:00","Bayview Hunters Point","Arson","Arson","Open or Active","Bayview","Arson","240343917"
"2024-06-01 00:00:00","2024-06-01 17:30:00","Bayview Hunters Point","Malicious Mischief","Malicious Mischief","Open or Active","Bayview","Malicious Mischief, Vandalism to Vehicle","240344012"
"2024-06-01 00:00:00","2024-06-01 17:31:00","South of Market","Robbery","Robbery","Open or Active","Southern","Robbery,  ATM, Force.","240343854"
"2024-06-01 00:00:00","2024-06-01 17:32:00","Mission","Warrant","Warrant","Cite or Arrest Adult","Southern","Warrant Arrest, Local SF Warrant","230416950"
"2024-06-01 00:00:00","2024-06-01 17:32:00","Mission","Warrant","Warrant","Cite or Arrest Adult","Southern","Warrant Arrest, Enroute To Outside Jurisdiction","230416950"
"2024-06-01 00:00:00","2024-06-01 17:45:00","Bernal Heights","Weapons Offence","Weapons Offence","Cite or Arrest Adult","Ingleside","Weapon, Concealed, Loitering While Carrying","240343945"
"2024-06-01 00:00:00","2024-06-01 17:45:00","Bernal Heights","Warrant","Warrant","Cite or Arrest Adult","Ingleside","Warrant Arrest, Local SF Warrant","240343945"
"2024-06-01 00:00:00","2024-06-01 17:45:00","Noe Valley","Burglary","Burglary","Open or Active","Mission","Burglary, Other Bldg., Forcible Entry","240345640"
