"incident_date","incident_datetime","analysis_neighborhood","incident_category","incident_category","resolution","police_district","incident_description","incident_number"
"2024-04-01 00:00:00","2024-04-01 08:00:00","Financial District/South Beach","Fraud","Fraud","Open or Active","Southern","Fraudulent Game or Trick, Obtaining Money or Property","240205771"
"2024-04-01 00:00:00","2024-04-01 08:00:00","Inner Richmond","Missing Person","Missing Person","Open or Active","Richmond","Found Person","240204999"
"2024-04-01 00:00:00","2024-04-01 08:30:00","Sunset/Parkside","Non-Criminal","Non-Criminal","Open or Active","Taraval","Firearm, Turned In by Public","240205163"
"2024-04-01 00:00:00","2024-04-01 08:30:00","Japantown","Non-Criminal","Non-Criminal","Open or Active","Northern","Aided Case, Injured or Sick Person","240205185"
"2024-04-01 00:00:00","2024-04-01 08:35:00","Lone Mountain/USF","Missing Person","Missing Person","Open or Active","Park","Missing Adult","240207379"
"2024-04-01 00:00:00","2024-04-01 08:45:00","Marina","Burglary","Burglary","Cite or Arrest Adult","Northern","Burglary, Hot Prowl, Att. Forcible Entry","240205191"
"2024-04-01 00:00:00","2024-04-01 08:50:00","Tenderloin","Warrant","Warrant","Cite or Arrest Adult","Tenderloin","Warrant Arrest, Local SF Warrant","230060773"
"2024-04-01 00:00:00","2024-04-01 09:00:00","Financial District/South Beach","Fraud","Fraud","Open or Active","Central","False Personation to Receive Money or Property","240205975"
"2024-04-01 00:00:00","2024-04-01 09:00:00","Hayes Valley","Recovered Vehicle","Recovered Vehicle","Open or Active","Northern","Vehicle, Recovered, Auto","240202608"
"2024-04-01 00:00:00","2024-04-01 09:00:00","Bernal Heights","Malicious Mischief","Malicious Mischief","Open or Active","Ingleside","Malicious Mischief, Graffiti, Real or Personal Property","240207664"
"2024-04-01 00:00:00","2024-04-01 09:00:00","Bayview Hunters Point","Fraud","Fraud","Open or Active","Bayview","Access Card, incl. Credit, Phone, ATM, Fraudulent Use of","240206155"
"2024-04-01 00:00:00","2024-04-01 09:15:00","Tenderloin","Warrant","Warrant","Cite or Arrest Adult","Tenderloin","Warrant Arrest, Local SF Warrant","240058514"
"2024-04-01 00:00:00","2024-04-01 09:20:00","Tenderloin","Warrant","Warrant","Cite or Arrest Adult","Tenderloin","Warrant Arrest, Local SF Warrant","230375635"
"2024-04-01 00:00:00","2024-04-01 09:20:00","Nob Hill","Other Miscellaneous","Other Miscellaneous","Open or Active","Northern","Investigative Detention","240205339"
"2024-04-01 00:00:00","2024-04-01 09:30:00","Russian Hill","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Unlocked Vehicle, $200-$950","240205373"
"2024-04-01 00:00:00","2024-04-01 09:30:00","South of Market","Recovered Vehicle","Recovered Vehicle","Open or Active","Southern","Vehicle, Recovered, Motorcycle","240185587"
"2024-04-01 00:00:00","2024-04-01 09:55:00","South of Market","Assault","Assault","Open or Active","Tenderloin","Battery","240205301"
"2024-04-01 00:00:00","2024-04-01 10:00:00","Chinatown","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","240205812"
"2024-04-01 00:00:00","2024-04-01 10:11:00","North Beach","Burglary","Burglary","Open or Active","Central","Burglary, Other Bldg., Att. Forcible Entry","240206149"
"2024-04-01 00:00:00","2024-04-01 10:20:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","246045353"
"2024-04-01 00:00:00","2024-04-01 10:44:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","246045347"
"2024-04-01 00:00:00","2024-04-01 10:45:00","North Beach","Assault","Assault","Cite or Arrest Adult","Central","Assault, Att. Homicide, W/ Knife","240205492"
"2024-04-01 00:00:00","2024-04-01 10:45:00","North Beach","Non-Criminal","Non-Criminal","Cite or Arrest Adult","Central","Found  Property","240205492"
"2024-04-01 00:00:00","2024-04-01 10:45:00","North Beach","Assault","Assault","Cite or Arrest Adult","Central","Assault, Aggravated, W/ Knife","240205492"
"2024-04-01 00:00:00","2024-04-01 10:52:00","North Beach","Assault","Assault","Open or Active","Central","Assault, Att. Mayhem, W/ Knife","240205492"
"2024-04-01 00:00:00","2024-04-01 10:52:00","North Beach","Assault","Assault","Open or Active","Central","Assault, Aggravated, On Police Officer, W/ Knife","240205492"
"2024-04-01 00:00:00","2024-04-01 10:52:00","North Beach","Non-Criminal","Non-Criminal","Open or Active","Central","Found  Property","240205492"
"2024-04-01 00:00:00","2024-04-01 10:54:00","Sunset/Parkside","Courtesy Report","Courtesy Report","Open or Active","Out of SF","Courtesy Report","240206428"
"2024-04-01 00:00:00","2024-04-01 10:54:00","Sunset/Parkside","Fraud","Fraud","Open or Active","Out of SF","False Personation","240206428"
"2024-04-01 00:00:00","2024-04-01 10:55:00","Visitacion Valley","Recovered Vehicle","Recovered Vehicle","Open or Active","Mission","Vehicle, Recovered, Auto","240201274"
"2024-04-01 00:00:00","2024-04-01 10:56:00","Mission","Other Miscellaneous","Other Miscellaneous","Open or Active","Mission","Trespassing","240205561"
"2024-04-01 00:00:00","2024-04-01 11:00:00","Bayview Hunters Point","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","240206553"
"2024-04-01 00:00:00","2024-04-01 11:00:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, From Locked Vehicle, >$950","246044032"
"2024-04-01 00:00:00","2024-04-01 11:00:00","Lakeshore","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, Pickpocket, >$950","240208270"
"2024-04-01 00:00:00","2024-04-01 11:00:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, From Locked Vehicle, >$950","246044032"
"2024-04-01 00:00:00","2024-04-01 11:04:00","Mission","Recovered Vehicle","Recovered Vehicle","Open or Active","Mission","Vehicle, Recovered, Auto","240183763"
"2024-04-01 00:00:00","2024-04-01 11:18:00","Inner Richmond","Other","Other","Open or Active","Richmond","Death Report, Cause Unknown","240205511"
"2024-04-01 00:00:00","2024-04-01 11:20:00","Tenderloin","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Tenderloin","Vehicle, Stolen, Auto","240205577"
"2024-04-01 00:00:00","2024-04-01 11:24:00","Glen Park","Recovered Vehicle","Recovered Vehicle","Open or Active","Ingleside","Vehicle, Recovered, Auto","240069743"
"2024-04-01 00:00:00","2024-04-01 11:31:00","Bayview Hunters Point","Recovered Vehicle","Recovered Vehicle","Open or Active","Bayview","Vehicle, Recovered, Auto","240204165"
"2024-04-01 00:00:00","2024-04-01 11:35:00","Tenderloin","Weapons Offense","Weapons Offense","Open or Active","Tenderloin","Weapon, Deadly, Imitation or Laser Scope, Exhibiting","240205583"
"2024-04-01 00:00:00","2024-04-01 11:35:00","Bayview Hunters Point","Missing Person","Missing Person","Open or Active","Bayview","Found Person","240203521"
"2024-04-01 00:00:00","2024-04-01 11:40:00","Lone Mountain/USF","Larceny Theft","Larceny Theft","Open or Active","Park","Theft, From Locked Vehicle, >$950","246043987"
"2024-04-01 00:00:00","2024-04-01 11:44:00","Lone Mountain/USF","Larceny Theft","Larceny Theft","Open or Active","Park","Theft, From Locked Vehicle, >$950","246043987"
"2024-04-01 00:00:00","2024-04-01 11:45:00","Financial District/South Beach","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Central","Vehicle, Stolen, Motorcycle","240205652"
"2024-04-01 00:00:00","2024-04-01 11:50:00","Potrero Hill","Assault","Assault","Open or Active","Bayview","Battery","240207426"
"2024-04-01 00:00:00","2024-04-01 12:00:00","Bayview Hunters Point","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Bayview","Vehicle, Stolen & Recovered","240208640"
"2024-04-01 00:00:00","2024-04-01 12:00:00","Seacliff","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, Bicycle, >$950","240210532"
"2024-04-01 00:00:00","2024-04-01 12:20:00","Bayview Hunters Point","Assault","Assault","Open or Active","Bayview","Battery","240205709"
"2024-04-01 00:00:00","2024-04-01 12:20:00","Bayview Hunters Point","Robbery","Robbery","Open or Active","Bayview","Robbery, Comml. Establ., W/ Force","240205709"
"2024-04-01 00:00:00","2024-04-01 12:25:00","Tenderloin","Assault","Assault","Cite or Arrest Adult","Tenderloin","False Imprisonment","240205680"
"2024-04-01 00:00:00","2024-04-01 12:25:00","Tenderloin","Assault","Assault","Cite or Arrest Adult","Tenderloin","Assault, Aggravated, W/ Other Weapon","240205680"
"2024-04-01 00:00:00","2024-04-01 12:25:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Tenderloin","Kidnapping (Adult victim)","240205680"
"2024-04-01 00:00:00","2024-04-01 12:26:00","Bayview Hunters Point","Other Offenses","Other Offenses","Open or Active","Bayview","License Plate, Found","240205486"
"2024-04-01 00:00:00","2024-04-01 12:45:00","Inner Richmond","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Richmond","Vehicle, Stolen, Other Vehicle","240208521"
"2024-04-01 00:00:00","2024-04-01 13:00:00","Mission Bay","Suspicious Occ","Suspicious Occ","Open or Active","Southern","Suspicious Occurrence","240188694"
"2024-04-01 00:00:00","2024-04-01 13:00:00","North Beach","Malicious Mischief","Malicious Mischief","Open or Active","Central","Malicious Mischief, Vandalism to Vehicle","240206036"
"2024-04-01 00:00:00","2024-04-01 13:00:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, Other Property, >$950","246045466"
"2024-04-01 00:00:00","2024-04-01 13:17:00","Mission","Drug Offense","Drug Offense","Cite or Arrest Adult","Mission","Narcotics Paraphernalia, Possession of","240205721"
"2024-04-01 00:00:00","2024-04-01 13:17:00","Mission","Drug Offense","Drug Offense","Cite or Arrest Adult","Mission","Controlled Substance, Under the Influence of","240205721"
"2024-04-01 00:00:00","2024-04-01 13:30:00","South of Market","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Bayview","Vehicle, Stolen, Auto","240206412"
"2024-04-01 00:00:00","2024-04-01 13:35:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Central","Methamphetamine, Possession For Sale","240205828"
"2024-04-01 00:00:00","2024-04-01 13:35:00","Mission","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Mission","Vehicle, Stolen, Other Vehicle","240205834"
"2024-04-01 00:00:00","2024-04-01 13:35:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Central","Opiates, Possession For Sale","240205828"
"2024-04-01 00:00:00","2024-04-01 13:35:00","Mission Bay","Non-Criminal","Non-Criminal","Open or Active","Southern","Aided Case","240205890"
"2024-04-01 00:00:00","2024-04-01 13:35:00","Mission Bay","Non-Criminal","Non-Criminal","Open or Active","Southern","Mental Health Detention","240205890"
"2024-04-01 00:00:00","2024-04-01 13:35:00","Tenderloin","Warrant","Warrant","Cite or Arrest Adult","Central","Warrant Arrest, Local SF Warrant","240205828"
"2024-04-01 00:00:00","2024-04-01 13:50:00","South of Market","Assault","Assault","Open or Active","Southern","Battery, Sexual","240205840"
"2024-04-01 00:00:00","2024-04-01 14:00:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","246044220"
"2024-04-01 00:00:00","2024-04-01 14:13:00","Tenderloin","Warrant","Warrant","Cite or Arrest Adult","Tenderloin","Warrant Arrest, Local SF Warrant","230341169"
"2024-04-01 00:00:00","2024-04-01 14:14:00","Financial District/South Beach","Burglary","Burglary","Open or Active","Central","Burglary, Store, Unlawful Entry","240206127"
"2024-04-01 00:00:00","2024-04-01 14:15:00","Russian Hill","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","240205947"
"2024-04-01 00:00:00","2024-04-01 14:30:00","Bayview Hunters Point","Non-Criminal","Non-Criminal","Open or Active","Bayview","Found  Property","240207084"
"2024-04-01 00:00:00","2024-04-01 14:34:00","Mission","Drug Offense","Drug Offense","Cite or Arrest Adult","Mission","Narcotics Paraphernalia, Possession of","240205925"
"2024-04-01 00:00:00","2024-04-01 14:34:00","Mission","Warrant","Warrant","Cite or Arrest Adult","Mission","Warrant Arrest, Local SF Warrant","240205925"
"2024-04-01 00:00:00","2024-04-01 14:34:00","Mission","Drug Offense","Drug Offense","Cite or Arrest Adult","Mission","Controlled Substance, Under the Influence of","240205925"
"2024-04-01 00:00:00","2024-04-01 14:45:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Northern","Lodging Without Permission","240205969"
"2024-04-01 00:00:00","2024-04-01 14:45:00","Tenderloin","Other Offenses","Other Offenses","Cite or Arrest Adult","Northern","Obstructions On Streets, Sidewalks","240205969"
"2024-04-01 00:00:00","2024-04-01 14:46:00","Tenderloin","Malicious Mischief","Malicious Mischief","Cite or Arrest Adult","Tenderloin","Malicious Mischief, Vandalism to Property","240206183"
"2024-04-01 00:00:00","2024-04-01 14:55:00","Excelsior","Fraud","Fraud","Open or Active","Bayview","Access Card, incl. Credit, Phone, ATM, Fraudulent Use of","240206092"
"2024-04-01 00:00:00","2024-04-01 15:00:00","Chinatown","Lost Property","Lost Property","Open or Active","Central","Lost Property","240206252"
"2024-04-01 00:00:00","2024-04-01 15:00:00","Chinatown","Lost Property","Lost Property","Open or Active","Central","Lost Property","246044117"
"2024-04-01 00:00:00","2024-04-01 15:06:00","Sunset/Parkside","Non-Criminal","Non-Criminal","Open or Active","Taraval","Found  Property","240205953"
"2024-04-01 00:00:00","2024-04-01 15:15:00","Mission","Sex Offense","Sex Offense","Cite or Arrest Adult","Mission","Sex Offender, Failure To Register for Sexual Assault of Adult","240207238"
"2024-04-01 00:00:00","2024-04-01 15:15:00","Mission","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Mission","Parole Violation, Adult","240207238"
"2024-04-01 00:00:00","2024-04-01 15:38:00","Financial District/South Beach","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Southern","Trespassing","240206309"
"2024-04-01 00:00:00","2024-04-01 15:38:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Cite or Arrest Adult","Southern","Theft, Shoplifting, $50-$200","240206309"
"2024-04-01 00:00:00","2024-04-01 16:00:00","Financial District/South Beach","Other","Other","Open or Active","Central","Death Report, Cause Unknown","240207523"
"2024-04-01 00:00:00","2024-04-01 16:00:00","Bayview Hunters Point","Other Miscellaneous","Other Miscellaneous","Open or Active","Bayview","Extortion or Blackmail","240209109"
"2024-04-01 00:00:00","2024-04-01 16:22:00","Presidio Heights","Non-Criminal","Non-Criminal","Open or Active","Park","Mental Health Detention","240206199"
"2024-04-01 00:00:00","2024-04-01 16:23:00","Financial District/South Beach","Warrant","Warrant","Cite or Arrest Adult","Central","Warrant Arrest, Enroute To Outside Jurisdiction","240206177"
"2024-04-01 00:00:00","2024-04-01 16:23:00","Financial District/South Beach","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Central","Parole Violation, Adult","240206177"
"2024-04-01 00:00:00","2024-04-01 16:23:00","Financial District/South Beach","Robbery","Robbery","Cite or Arrest Adult","Central","Shoplifting, Force against Agent","240206177"
"2024-04-01 00:00:00","2024-04-01 16:29:00","Haight Ashbury","Assault","Assault","Open or Active","Park","Battery","240206218"
"2024-04-01 00:00:00","2024-04-01 16:29:00","Haight Ashbury","Assault","Assault","Open or Active","Park","Battery with Serious Injuries","240206218"
"2024-04-01 00:00:00","2024-04-01 16:30:00","Tenderloin","Larceny Theft","Larceny Theft","Open or Active","Tenderloin","Theft, Pickpocket, $200-$950","240206268"
"2024-04-01 00:00:00","2024-04-01 16:41:00","Excelsior","Malicious Mischief","Malicious Mischief","Cite or Arrest Adult","Ingleside","Vandalism or Graffiti Tools, Possession","240206315"
"2024-04-01 00:00:00","2024-04-01 16:41:00","Excelsior","Malicious Mischief","Malicious Mischief","Cite or Arrest Adult","Ingleside","Malicious Mischief, Graffiti, Real or Personal Property","240206315"
"2024-04-01 00:00:00","2024-04-01 16:48:00","Portola","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Ingleside","Vehicle, Recovered, Stolen outside SF","240206246"
"2024-04-01 00:00:00","2024-04-01 16:49:00","South of Market","Other Offenses","Other Offenses","Cite or Arrest Adult","Southern","Obstructions On Streets, Sidewalks","240206202"
"2024-04-01 00:00:00","2024-04-01 16:50:00","South of Market","Non-Criminal","Non-Criminal","Open or Active","Southern","Found  Property","240206230"
"2024-04-01 00:00:00","2024-04-01 17:00:00","West of Twin Peaks","Suspicious Occ","Suspicious Occ","Open or Active","Ingleside","Suspicious Occurrence","240207636"
"2024-04-01 00:00:00","2024-04-01 17:00:00","Excelsior","Burglary","Burglary","Open or Active","Ingleside","Burglary, Other Bldg., Forcible Entry","240207404"
"2024-04-01 00:00:00","2024-04-01 17:00:00","Excelsior","Malicious Mischief","Malicious Mischief","Open or Active","Ingleside","Malicious Mischief, Vandalism to Property","240207404"
"2024-04-01 00:00:00","2024-04-01 17:00:00","Portola","Fraud","Fraud","Open or Active","Bayview","Theft, Trick And Device, Att.","240207749"
"2024-04-01 00:00:00","2024-04-01 17:00:00","Excelsior","Disorderly Conduct","Disorderly Conduct","Open or Active","Ingleside","School, Public, Trespass","240207404"
"2024-04-01 00:00:00","2024-04-01 17:11:00","Tenderloin","Warrant","Warrant","Cite or Arrest Adult","Tenderloin","Warrant Arrest, Local SF Warrant","240206359"
"2024-04-01 00:00:00","2024-04-01 17:20:00","Tenderloin","Warrant","Warrant","Cite or Arrest Adult","Tenderloin","Warrant Arrest, Enroute To US Marshall","240206393"
"2024-04-01 00:00:00","2024-04-01 17:20:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Cocaine, Base/rock, Possession For Sale","240206393"
"2024-04-01 00:00:00","2024-04-01 17:30:00","Financial District/South Beach","Robbery","Robbery","Open or Active","Southern","Shoplifting, Force against Agent","240206387"
"2024-04-01 00:00:00","2024-04-01 17:30:00","Financial District/South Beach","Malicious Mischief","Malicious Mischief","Open or Active","Central","Malicious Mischief, Vandalism to Property","240207272"
"2024-04-01 00:00:00","2024-04-01 17:30:00","Financial District/South Beach","Burglary","Burglary","Open or Active","Central","Burglary, Non-residential, Forcible Entry","240207272"
"2024-04-01 00:00:00","2024-04-01 17:49:00","Tenderloin","Courtesy Report","Courtesy Report","Open or Active","Out of SF","Courtesy Report","240206365"
"2024-04-01 00:00:00","2024-04-01 17:55:00","Pacific Heights","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Person, >$950 (other than Pickpocket)","240206462"
"2024-04-01 00:00:00","2024-04-01 18:00:00","Oceanview/Merced/Ingleside","Malicious Mischief","Malicious Mischief","Open or Active","Taraval","Malicious Mischief, Vandalism to Property","246045529"
"2024-04-01 00:00:00","2024-04-01 18:00:00","Mission","Lost Property","Lost Property","Open or Active","Mission","Lost Property","246044026"
"2024-04-01 00:00:00","2024-04-01 18:00:00","Bayview Hunters Point","Larceny Theft","Larceny Theft","Open or Active","Bayview","License Plate, Stolen","240207363"
"2024-04-01 00:00:00","2024-04-01 18:20:00","Chinatown","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","Central","Miscellaneous Investigation","240206484"
"2024-04-01 00:00:00","2024-04-01 18:27:00","West of Twin Peaks","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, Shoplifting, $200-$950","240206490"
